Hospital Name,City,Staffed Beds,Total Discharges,Patient Days,State
Genesis Medical Center Silvis,Silvis,265,"3,316","10,062",Illinois
Glenbrook Hospital,Glenview,0,0,0,Illinois
Graham Hospital,Canton,81,"2,069","7,467",Illinois
Harrisburg Medical Center,Harrisburg,70,"1,547","4,671",Illinois
Heartland Regional Medical Center,Marion,94,"3,820","11,122",Illinois
Herrin Hospital,Herrin,114,"6,147","21,396",Illinois
Highland Park Hospital,Highland Park,0,0,0,Illinois
Holy Cross Hospital,Chicago,221,"8,787","40,568",Illinois
HSHS Good Shepherd Hospital,Shelbyville,30,371,"1,036",Illinois
HSHS Holy Family Hospital,Greenville,42,825,"2,719",Illinois
HSHS Saint Anthony's Memorial Hospital,Effingham,133,"4,592","15,569",Illinois
HSHS Saint Elizabeth's Hospital,O'Fallon,144,"9,930","37,038",Illinois
HSHS Saint John's Hospital,Springfield,369,"18,322","98,788",Illinois
HSHS Saint Joseph's Hospital Breese,Breese,46,"1,425","4,814",Illinois
HSHS Saint Mary's Hospital,Decatur,207,"5,585","23,732",Illinois
Illinois Valley Community Hospital,Peru,49,"2,166","6,739",Illinois
Iroquois Memorial Hospital,Watseka,60,575,"1,523",Illinois
Jackson Park Hospital,Chicago,201,"6,093","26,463",Illinois
Javon Bea Hospital Rockton,Rockford,292,"12,629","67,656",Illinois
Javon Bea Hospital-Riverside,Rockford,0,0,0,Illinois
Jersey Community Hospital,Jerseyville,46,729,"2,330",Illinois
Jesse Brown VA Medical Center,Chicago,0,0,0,Illinois
"John H. Stroger, Jr. Hospital of Cook County",Chicago,448,"15,967","84,311",Illinois
Katherine Shaw Bethea Hospital,Dixon,80,"2,556","8,409",Illinois
Lake Behavioral Hospital,Waukegan,46,0,0,Illinois
Loretto Hospital,Chicago,122,"3,954","18,087",Illinois
Loyola Gottlieb Memorial Hospital,Melrose Park,191,"4,843","21,757",Illinois
Loyola University Medical Center,Maywood,515,"22,940","127,382",Illinois
MacNeal Hospital,Berwyn,318,"11,656","47,623",Illinois
Marion VA Medical Center,Marion,0,0,0,Illinois
McDonough District Hospital,Macomb,57,"1,313","5,091",Illinois
Memorial Hospital Belleville,Belleville,294,"11,788","50,553",Illinois
Memorial Hospital East,Shiloh,94,"5,410","17,794",Illinois
Memorial Hospital of Carbondale,Carbondale,167,"10,482","38,232",Illinois
Memorial Medical Center,Springfield,466,"22,232","105,906",Illinois
Mercy Hospital & Medical Center,Chicago,258,"10,103","43,818",Illinois
Methodist Hospital of Chicago,Chicago,145,"3,818","18,290",Illinois
Morris Hospital,Morris,89,"4,547","14,952",Illinois
Mount Sinai Hospital,Chicago,264,"10,851","48,233",Illinois
Northwest Community Hospital,Arlington Heights,481,"19,530","84,589",Illinois
Northwestern Medicine Central DuPage Hospital,Winfield,395,"18,517","83,916",Illinois
Northwestern Medicine Delnor Hospital,Geneva,144,"7,788","31,998",Illinois
Northwestern Medicine Huntley Hospital,Huntley,0,0,0,Illinois
Northwestern Medicine Lake Forest Hospital,Lake Forest,114,"8,368","30,542",Illinois
Northwestern Medicine McHenry Hospital,McHenry,286,"16,000","66,684",Illinois
Northwestern Medicine Prentice Women's Hospital,Chicago,0,0,0,Illinois
Northwestern Medicine Woodstock Hospital,Woodstock,32,"1,429","8,123",Illinois
Northwestern Memorial Hospital,Chicago,912,"45,506","265,872",Illinois
Norwegian American Hospital,Chicago,185,"5,621","31,173",Illinois
OSF Children's Hospital of Illinois,Peoria,0,0,0,Illinois
OSF Heart of Mary Medical Center,Urbana,194,"5,551","20,891",Illinois
OSF Little Company of Mary Medical Center,Evergreen Park,244,"10,794","51,076",Illinois
OSF Sacred Heart Medical Center,Danville,157,"4,333","15,199",Illinois
OSF Saint Anthony Medical Center,Rockford,248,"11,803","51,556",Illinois
OSF Saint Anthony's Health Center,Alton,78,"3,625","11,255",Illinois
OSF Saint Elizabeth Medical Center,Ottawa,97,"4,069","13,730",Illinois
OSF Saint Francis Medical Center,Peoria,655,"32,627","178,951",Illinois
OSF Saint James-John W. Albrecht Medical Center,Pontiac,42,"2,003","6,366",Illinois
OSF Saint Joseph Medical Center,Bloomington,149,"7,158","28,603",Illinois
OSF Saint Mary Medical Center,Galesburg,81,"3,223","13,002",Illinois
Palos Hospital,Palos Heights,413,"18,017","82,791",Illinois
Passavant Area Hospital,Jacksonville,118,"3,234","11,492",Illinois
Provident Hospital of Cook County,Chicago,25,582,"3,198",Illinois
Riverside Medical Center,Kankakee,335,"11,035","52,686",Illinois
Roseland Community Hospital,Chicago,134,"2,226","10,800",Illinois
Rush Oak Park Hospital,Oak Park,201,"4,192","14,699",Illinois
Rush University Medical Center,Chicago,697,"31,941","164,125",Illinois
Rush-Copley Medical Center,Aurora,210,"11,118","43,392",Illinois
Saint Anthony Hospital,Chicago,151,"4,813","18,689",Illinois
Saint Bernard Hospital and Health Care Center,Chicago,190,"4,435","20,628",Illinois
Saint Margaret's Hospital,Spring Valley,44,"1,948","6,967",Illinois
Sarah Bush Lincoln Health Center,Mattoon,102,"5,844","19,081",Illinois
Silver Cross Hospital,New Lenox,302,"15,848","70,204",Illinois
Skokie Hospital,Skokie,156,"6,535","29,006",Illinois
South Shore Hospital,Chicago,137,"2,284","14,536",Illinois
SSM Health Good Samaritan Hospital - Mount Vernon,Mount Vernon,134,"11,782","28,416",Illinois
SSM Health Saint Mary's Hospital-Centralia,Centralia,106,"4,423","14,257",Illinois
Swedish Hospital,Chicago,306,"10,852","50,438",Illinois
SwedishAmerican Hospital,Rockford,313,"13,441","54,294",Illinois
The University of Chicago Medical Center,Chicago,682,"33,060","215,364",Illinois
Thorek Memorial Hospital,Chicago,156,"4,526","22,247",Illinois
Touchette Regional Hospital,Centreville,122,"2,533","9,867",Illinois
UChcago Medicine Ingalls Memorial Hospital,Harvey,326,"11,866","55,593",Illinois
UChicago Medicine Center for Care and Discovery - Hyde Park,Chicago,0,0,0,Illinois
UChicago Medicine Mitchell Hospital - Hyde Park,Chicago,0,0,0,Illinois
UnityPoint Health - Methodist,Peoria,280,"12,396","50,185",Illinois
UnityPoint Health - Pekin,Pekin,107,"2,825","8,881",Illinois
UnityPoint Health - Proctor,Peoria,170,"3,467","13,852",Illinois
UnityPoint Health Trinity - Moline,Moline,0,0,0,Illinois
UnityPoint Health Trinity - Rock Island,Rock Island,348,"12,672","51,899",Illinois
University of Illinois Medical Center,Chicago,484,"19,417","102,662",Illinois
VA Illiana Health Care System,Danville,0,0,0,Illinois
Vista Medical Center East,Waukegan,190,"9,998","41,959",Illinois
Weiss Memorial Hospital,Chicago,144,"5,162","23,497",Illinois
West Suburban Medical Center,Oak Park,174,"6,365","26,935",Illinois
Ascension Saint Vincent Carmel,Carmel,153,"6,722","19,201",Indiana
Ascension Saint Vincent Evansville,Evansville,438,"14,970","57,552",Indiana
Ascension Saint Vincent Indianapolis Hospital,Indianapolis,825,"30,994","180,781",Indiana
Ascension St. Vincent Carmel,Carmel,107,"4,400","19,823",Indiana
Ascension St. Vincent Castleton,Indianapolis,0,0,0,Indiana
Ascension St. Vincent Hospital Avon,Avon,20,249,450,Indiana
Ascension St. Vincent Kokomo,Kokomo,129,"4,522","17,557",Indiana
Baptist Health Floyd,New Albany,225,"13,271","54,887",Indiana
Bluffton Regional Medical Center,Bluffton,75,"1,652","4,759",Indiana
Clark Memorial Hospital,Jeffersonville,168,"9,286","36,768",Indiana
Columbus Regional Hospital,Columbus,229,"9,158","33,622",Indiana
Community Heart And Vascular Hospital,Indianapolis,56,"2,545","10,385",Indiana
Community Hospital,Munster,464,"17,965","94,144",Indiana
Community Hospital Anderson,Anderson,134,"7,653","27,656",Indiana
Community Hospital East,Indianapolis,305,"17,767","78,578",Indiana
Community Hospital North,Indianapolis,298,"17,414","83,056",Indiana
Community Hospital South,Indianapolis,169,"9,954","39,964",Indiana
Community Howard Regional Health,Kokomo,109,"4,529","17,243",Indiana
Danville Hospital Main Campus,Danville,133,"5,679","21,765",Indiana
Daviess Community Hospital,Washington,74,"1,455","4,960",Indiana
Deaconess Gateway Hospital,Newburgh,0,0,0,Indiana
Deaconess Midtown Hospital,Evansville,547,"29,815","126,421",Indiana
Dupont Hospital,Fort Wayne,131,"4,488","20,202",Indiana
Elkhart General Hospital,Elkhart,230,"9,920","40,628",Indiana
Fairbanks Hospital,Indianapolis,86,"2,877","15,513",Indiana
Franciscan Health Crawfordsville,Crawfordsville,40,856,"3,031",Indiana
Franciscan Health Indianapolis,Indianapolis,462,"19,234","100,021",Indiana
Franciscan Health Lafayette Central,Lafayette,94,"1,619","7,168",Indiana
Franciscan Health Lafayette East,Lafayette,203,"10,089","45,016",Indiana
Franciscan Health Hammond,Hammond,226,"4,170","22,634",Indiana
Franciscan Health Michigan City,Michigan City,183,"5,506","21,130",Indiana
Franciscan Health Mooresville Campus,Mooresville,83,"2,753","7,657",Indiana
Franciscan Health Munster,Munster,63,"2,616","11,457",Indiana
Franciscan Health Carmel,Carmel,6,268,439,Indiana
Franciscan Health Crown Point,Crown Point,214,"7,958","32,558",Indiana
Franciscan Health Dyer Campus,Dyer,170,"4,008","19,174",Indiana
Good Samaritan Hospital,Vincennes,144,"5,385","21,142",Indiana
Goshen Hospital,Goshen,122,"6,972","23,815",Indiana
Hancock Regional Hospital,Greenfield,71,"2,388","8,200",Indiana
Henry Community Health,New Castle,48,"2,386","8,712",Indiana
Highpoint Health,Lawrenceburg,86,"3,089","11,310",Indiana
IU Health Arnett Hospital,Lafayette,185,"11,473","44,948",Indiana
IU Health Ball Memorial Hospital,Muncie,336,"16,806","81,649",Indiana
IU Health Bloomington Hospital,Bloomington,270,"14,198","58,611",Indiana
IU Health Methodist University,Indianapolis,"1,262","50,673","322,722",Indiana
IU Health North Hospital,Carmel,149,"9,647","33,104",Indiana
IU Health Saxony Hospital,Fishers,0,0,0,Indiana
IU Health University Hospital,Indianapolis,0,0,0,Indiana
IU Health West Hospital,Avon,127,"7,879","31,264",Indiana
Johnson Memorial Hospital,Franklin,94,"1,917","6,682",Indiana
King's Daughters' Hospital & Health Services,Madison,88,"3,085","12,105",Indiana
Kosciusko Community Hospital,Warsaw,72,"2,759","9,250",Indiana
La Porte Hospital,La Porte,129,"4,517","17,561",Indiana
Logansport Memorial Hospital,Logansport,44,"1,659","5,256",Indiana
Lutheran Health Network The Orthopedic Hospital,Fort Wayne,39,"2,392","5,424",Indiana
Lutheran Hospital,Fort Wayne,396,"21,010","100,033",Indiana
Marion General Hospital,Marion,124,"4,850","19,173",Indiana
Memorial Hospital,South Bend,435,"18,456","95,695",Indiana
Memorial Hospital and Health Care Center,Jasper,152,"3,643","15,103",Indiana
Methodist Hospitals - Northlake Campus,Gary,509,"13,960","84,820",Indiana
Methodist Hospitals - Southlake Campus,Merrillville,319,"12,715","61,757",Indiana
MHP Medical Center,Shelbyville,46,"2,749","9,934",Indiana
Monroe Hospital,Bloomington,32,"1,148","4,235",Indiana
OrthoIndy Hospital,Indianapolis,38,"3,145","5,061",Indiana
Parkview DeKalb Hospital,Auburn,37,"1,945","6,480",Indiana
Parkview Hospital Randallia,Fort Wayne,0,0,0,Indiana
Parkview Huntington Hospital,Huntington,36,"1,853","5,069",Indiana
Parkview Noble Hospital,Kendallville,31,"1,865","5,104",Indiana
Parkview Ortho Hospital,Fort Wayne,37,"2,962","5,407",Indiana
Parkview Regional Medical Center,Fort Wayne,712,"33,427","158,002",Indiana
Parkview Whitley Hospital,Columbia City,30,"1,880","5,047",Indiana
Peyton Manning Children's Hospital,Indianapolis,0,0,0,Indiana
Pinnacle Hospital,Crown Point,18,922,"3,333",Indiana
Plymouth Medical Center,Plymouth,45,"2,005","6,043",Indiana
PMC Regional Hospital,New Albany,10,473,"1,257",Indiana
Portage Hospital,Portage,0,0,0,Indiana
Porter Regional Hospital,Valparaiso,252,"11,351","56,811",Indiana
Reid Hospital,Richmond,221,"10,402","39,543",Indiana
Richard L. Roudebush VA Medical Center,Indianapolis,0,0,0,Indiana
Riverview Health Noblesville Hospital,Noblesville,158,"4,084","16,169",Indiana
Riverview Health Westfield Hospital,Westfield,0,0,0,Indiana
Saint Catherine Hospital,East Chicago,211,"6,183","29,809",Indiana
Saint Joseph Health Mishawaka Medical Center,Mishawaka,293,"14,751","69,907",Indiana
Saint Joseph Hospital,Fort Wayne,127,"3,901","16,796",Indiana
Saint Mary Medical Center,Hobart,200,"9,787","47,796",Indiana
Saint Vincent Anderson,Anderson,157,"5,100","25,394",Indiana
Saint Vincent Fishers Hospital,Fishers,46,"1,204","3,389",Indiana
Saint Vincent Women's Hospital,Indianapolis,182,"3,026","15,720",Indiana
Schneck Medical Center,Seymour,91,"2,607","10,149",Indiana
Sidney and Lois Eskenazi Hospital,Indianapolis,336,"18,038","78,212",Indiana
St. Vincent Neighborhood Hospital Indianapolis South,Indianapolis,0,0,0,Indiana
St. Vincent Neighborhood Hospital Noblesville,Noblesville,0,0,0,Indiana
St. Vincent Neighborhood Hospital Plainfield,Plainfield,0,0,0,Indiana
Starke Hospital,Knox,15,486,"1,227",Indiana
Terre Haute Regional Hospital,Terre Haute,195,"5,228","20,669",Indiana
The Heart Hospital,Newburgh,24,"1,516","6,036",Indiana
The Women's Hospital,Newburgh,74,"3,648","22,403",Indiana
Union Hospital,Terre Haute,255,"14,958","56,766",Indiana
Unity Medical and Surgical Hospital,Mishawaka,29,480,"1,215",Indiana
VA Northern Indiana Health Care System - Fort Wayne Campus,Fort Wayne,0,0,0,Indiana
Witham Memorial Hospital,Lebanon,96,"2,316","8,302",Indiana
University of Kansas Health System Saint Francis Campus,Topeka,264,"7,106","27,646",Kansas
AdventHealth Ottawa,Ottawa,47,"1,426","4,360",Kansas
AdventHealth Shawnee Mission,Shawnee Mission,365,"19,408","86,912",Kansas
Ascension Via Christi Hospital in Manhattan,Manhattan,94,"3,697","14,241",Kansas
Ascension Via Christi Hospital in Pittsburg,Pittsburg,78,"3,215","9,844",Kansas
Ascension Via Christi St. Francis,Wichita,658,"29,515","147,855",Kansas
Ascension Via Christi St. Joseph,Wichita,0,0,0,Kansas
Ascension Via Christi St. Teresa,Wichita,57,"1,258","4,470",Kansas
Bob Wilson Memorial Grant County Hospital,Ulysses,26,278,"1,204",Kansas
Coffeyville Regional Medical Center,Coffeyville,67,"1,446","4,320",Kansas
Doctors Hospital,Leawood,9,180,477,Kansas
Geary Community Hospital,Junction City,49,979,"3,202",Kansas
Great Bend Regional Hospital,Great Bend,33,"1,301","4,653",Kansas
Hays Medical Center,Hays,149,"4,929","21,695",Kansas
Hutchinson Regional Medical Center,Hutchinson,152,"4,754","16,507",Kansas
Irwin Army Community Hospital,Fort Riley,0,0,0,Kansas
Kansas City Orthopaedic Institute,Leawood,12,944,"1,759",Kansas
Kansas Heart Hospital,Wichita,46,"1,752","7,345",Kansas
Kansas Medical Center,Andover,55,"2,475","9,805",Kansas
Kansas Spine & Specialty Hospital,Wichita,36,"2,194","4,821",Kansas
Kansas Surgery & Recovery Center,Wichita,32,"1,909","4,240",Kansas
Labette Health,Parsons,53,"1,954","5,794",Kansas
Lawrence Memorial Hospital,Lawrence,136,"6,431","20,603",Kansas
Manhattan Surgical Center,Manhattan,13,761,"1,227",Kansas
McPherson Hospital,McPherson,37,749,"2,694",Kansas
Menorah Medical Center,Overland Park,164,"8,593","35,245",Kansas
Mercy Hospital,Moundridge,21,248,904,Kansas
Miami County Medical Center,Paola,18,485,970,Kansas
MISH Hospital and Clinics,Lenexa,9,43,148,Kansas
Morton County Hospital,Elkhart,26,169,552,Kansas
Newton Medical Center,Newton,97,"2,446","9,822",Kansas
Olathe Medical Center,Olathe,254,"10,441","39,957",Kansas
Overland Park Regional Medical Center,Overland Park,270,"12,115","61,130",Kansas
Pinnacle Regional Hospital,Overland Park,4,"1,580",501,Kansas
Pratt Regional Medical Center,Pratt,81,"1,388","4,816",Kansas
Premier Surgical Institute,Galena,36,"1,403","3,171",Kansas
Providence Medical Center,Kansas City,216,"8,700","33,594",Kansas
Robert J. Dole VA Medical Center,Wichita,0,0,0,Kansas
Rock Regional Hospital,Derby,0,0,0,Kansas
Saint Catherine Hospital,Garden City,100,"3,702","14,513",Kansas
Saint John Hospital,Leavenworth,52,"1,416","3,874",Kansas
Saint Luke's Cushing Memorial Hospital,Leavenworth,24,879,"2,806",Kansas
Saint Luke's South Hospital,Overland Park,95,"5,499","19,005",Kansas
Salina Regional Health Center,Salina,203,"7,403","34,135",Kansas
Salina Surgical Hospital,Salina,16,868,"2,030",Kansas
South Central Kansas Regional Medical Center,Arkansas City,44,"1,089","2,462",Kansas
Southwest Medical Center,Liberal,89,"2,361","8,620",Kansas
Stormont Vail Hospital,Topeka,439,"26,938","105,533",Kansas
Summit Surgical,Hutchinson,10,275,471,Kansas
Susan B. Allen Memorial Hospital,El Dorado,53,"1,466","5,888",Kansas
The University of Kansas Health System- Indian Creek Campus,Overland Park,0,0,0,Kansas
The University of Kansas Hospital,Kansas City,892,"41,549","227,648",Kansas
VA Eastern Kansas Health Care System - Colmery-O'Neil VA Medical Center,Topeka,0,0,0,Kansas
VA Eastern Kansas Health Care System - Dwight D. Eisenhower VA Medical Center,Leavenworth,0,0,0,Kansas
Wesley Medical Center,Wichita,593,"29,403","144,244",Kansas
Wesley Woodlawn Hospital & ER,Wichita,71,"4,978","22,041",Kansas
Western Plains Medical Complex,Dodge City,60,"1,738","5,034",Kansas
AdventHealth Manchester,Manchester,49,"1,642","5,566",Kentucky
Baptist Health Corbin,Corbin,268,"8,693","38,993",Kentucky
Baptist Health LaGrange,La Grange,120,"2,144","8,157",Kentucky
Baptist Health Lexington,Lexington,391,"20,203","101,757",Kentucky
Baptist Health Louisville,Louisville,519,"25,672","119,415",Kentucky
Baptist Health Madisonville,Madisonville,173,"6,471","30,529",Kentucky
Baptist Health Paducah,Paducah,271,"10,829","42,445",Kentucky
Baptist Health Richmond,Richmond,60,"2,995","11,728",Kentucky
Blanchfield Army Community Hospital,Fort Campbell,0,0,0,Kentucky
Bourbon Community Hospital,Paris,58,931,"3,706",Kentucky
CHI Saint Joseph Health East,Lexington,160,"7,098","31,620",Kentucky
CHI Saint Joseph Health Hospital,Lexington,255,"12,096","63,871",Kentucky
